Host Name,Device IP,Device Type,Device Status,Device Vendor,Device Model,Serial Number,Software Version,Firmware Version,Free Ports,Total Ports,Ports In Use,Uptime,Last Successful Snapshot,Last Snapshot Attempt,Last Snapshot Result,Device Type Standard,associatedWlcIp,deviceSupportLevel,dnsResolvedManagementAddress,errorCode,family,id,instanteTenantId,instanteUuid,interfaceCount,inventoryStatusDetail,lastDeviceResyncStartTime,lastManagedResyncReasons,lastUpdated,lastUpdateTime,lineCardCount,lineCardId,location,locationName,macAddress,managedAtleastOnce,managementState,memorySize,pendingSyncRequestsCount,platformId,reachabilityFailureReason,reachabilityStatus,reasonsForDeviceResync,reasonsForPendingSyncRequests,role,roleSource,serialNumber,series,snmpContact,softwareType,softwareVersion,syncRequestedByApp,tagCount,tunnelUdpPort,type,upTime,uptimeSeconds,vendor,waasDeviceMode,Unnamed: 44,clientCount,clientCount_2_4GHz,clientCount_5GHz,controllerIpAddress,controllerName,countryCode,ethernetMac,hreapEnabled,ipAddress,lwappUpTime,model,status,DateAdded,adminStatus,ArchiveDate,collectionStatus,collectionTime,creationTime,deviceType,managementStatus,manufacturer_part_name,manufacturer_part_partNumber,manufacturer_part_serialNumber,productFamily,reachability,Site Code Extracted,State,Model,EoS,EoL,In Scope?,Repl Device,Material Cost,Labor Cost,Device Cost,latitude,longitude,county,affiliate,Owner,Exception_Flag,Exception_Reason,EoL_Date,Days_to_EoL
MSGSISW01,33.133.12.5,Switch,Active,Cisco,WS-C2960S-48FPS-L,"QOC7877Y8H8,QOC7877Y8GK",27.0(2)SE3,Bootstrap,1.0,105.0,104.0,1034d:16h:55m:0s,Jan-23-26 02:10:57,Jan-23-26 02:10:57,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSI,MS,WS-C2960S-48FPS-L,2015-11-06,2020-11-30,Yes,C9200-48P-E,5812.704,1540.0,3504.85,30.366826,-89.094057,Harrison,FO-MS-O-SOUTH CENTRAL,MPC,True,Decommissioned site,2020-11-30,-1917.0
MSGSISW02,33.133.12.5,Switch,Active,Cisco,WS-C2960S-48FPS-L,"QOC7877Y8GQ,QOC7877Y8H7",27.0(2)SE3,Bootstrap,4.0,105.0,101.0,108d:20h:14m:0s,Jan-23-26 02:08:57,Jan-23-26 02:08:57,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSI,MS,WS-C2960S-48FPS-L,2015-11-06,2020-11-30,Yes,C9200-48P-E,5812.704,1540.0,3504.85,30.366826,-89.094057,Harrison,FO-MS-O-SOUTH CENTRAL,MPC,True,Decommissioned site,2020-11-30,-1917.0
MSGSIROVG01,33.133.12.8,Router,Active,Cisco,VG224,QTX7838ZH8D,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,1034d:17h:56m:0s,Jan-23-26 01:08:37,Jan-23-26 01:08:37,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSI,MS,VG224,2015-04-24,2020-04-30,Yes,VG410-24FXS,4015.584,770.0,3256.32,30.366826,-89.094057,Harrison,FO-MS-O-SOUTH CENTRAL,MPC,True,Decommissioned site,2020-04-30,-2131.0
MSPSWSWCOMM01,33.133.13.2,L3Switch,Active,Cisco,C9200-24P,QOC388733Z3,27.09.07,37.9.3r [FC33],3.0,34.0,31.0, ,Jan-23-26 02:00:57,Jan-23-26 02:00:57,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSW,MS,C9200-24P,,,,,0.0,0.0,,32.293026,-88.744847,Lauderdale,FO-MS-O-NORTH,MPC,True,Decommissioned site,,
MSPSWSW0301,33.133.13.3,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC7787Y8LT,27.2(7)E7,Bootstrap,0.0,10.0,10.0,0d:0h:2m:0s,Jan-23-26 01:08:48,Jan-23-26 01:08:48,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSW,MS,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,C9200CX-8P-2X2G-E,1662.7800000000002,1540.0,956.65,32.293026,-88.744847,Lauderdale,FO-MS-O-NORTH,MPC,True,Decommissioned site,2025-10-31,-121.0
MSPSWSWGATE01,33.133.13.5,Switch,Active,Cisco,IE-3300-8P2S,QCW3738Y7R8,27.09.04a,IOS-XE,0.0,11.0,11.0, ,Jan-23-26 01:38:21,Jan-23-26 01:38:21,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSW,MS,IE-3300-8P2S,,,,,108.0,0.0,,32.293026,-88.744847,Lauderdale,FO-MS-O-NORTH,MPC,True,Decommissioned site,,
MSREDSWADMIN02,33.133.85.130,Switch,Active,Cisco,WS-C2960S-48FPS-L,QOC7789Z33P,27.0(2)SE3,Bootstrap,4.0,53.0,49.0,1189d:20h:34m:0s,Jan-23-26 01:01:30,Jan-23-26 01:01:30,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RED,MS,WS-C2960S-48FPS-L,2015-11-06,2020-11-30,Yes,C9200-48P-E,5812.704,1540.0,3504.85,33.37721,-89.212273,Choctaw,FO-MS-O-NORTH,MPC,True,Decommissioned site,2020-11-30,-1917.0
MSREDSWADMIN01,33.133.85.88,Switch,Active,Cisco,WS-C2960S-48FPS-L,QOC7853Z737,27.0(2)SE3,Bootstrap,2.0,53.0,51.0,1190d:1h:4m:0s,Jan-23-26 02:10:07,Jan-23-26 02:10:07,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RED,MS,WS-C2960S-48FPS-L,2015-11-06,2020-11-30,Yes,C9200-48P-E,5812.704,1540.0,3504.85,33.37721,-89.212273,Choctaw,FO-MS-O-NORTH,MPC,True,Decommissioned site,2020-11-30,-1917.0
MSREDSWTURBINE01,33.133.85.80,Switch,Active,Cisco,IE-3000-8TC,QOC7787W7H8,27.0(2)EY2,Bootstrap,1.0,10.0,9.0, ,Jan-23-26 02:02:20,Jan-23-26 02:02:20,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RED,MS,IE-3000-8TC,2020-06-30,2025-06-30,Yes,IE-3300-8P2S-E,4937.640000000001,1790.0,3557.53,33.37721,-89.212273,Choctaw,FO-MS-O-NORTH,MPC,True,Decommissioned site,2025-06-30,-244.0
MSREDSWWHSE01,33.133.85.01,Switch,Active,Cisco,IE-3000-8TC,QOC7778X3KZ,27.2(4)EA9,Bootstrap,2.0,10.0,8.0,123d:23h:58m:0s,Jan-23-26 02:02:11,Jan-23-26 02:02:11,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RED,MS,IE-3000-8TC,2020-06-30,2025-06-30,Yes,IE-3300-8P2S-E,4937.640000000001,1790.0,3557.53,33.37721,-89.212273,Choctaw,FO-MS-O-NORTH,MPC,True,Decommissioned site,2025-06-30,-244.0
MSREDSWMECH01,33.133.85.02,Switch,Active,Cisco,IE-3000-8TC,QOC7887Y5LR,27.2(4)EA9,Bootstrap,1.0,10.0,9.0, ,Jan-23-26 02:03:48,Jan-23-26 02:03:48,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RED,MS,IE-3000-8TC,2020-06-30,2025-06-30,Yes,IE-3300-8P2S-E,4937.640000000001,1790.0,3557.53,33.37721,-89.212273,Choctaw,FO-MS-O-NORTH,MPC,True,Decommissioned site,2025-06-30,-244.0
MSREDSWICSHOP01,33.133.85.03,Switch,Active,Cisco,IE-3000-8TC,QOC7888X77W,27.2(4)EA9,Bootstrap,0.0,10.0,10.0, ,Jan-23-26 01:04:52,Jan-23-26 01:04:52,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RED,MS,IE-3000-8TC,2020-06-30,2025-06-30,Yes,IE-3300-8P2S-E,4937.640000000001,1790.0,3557.53,33.37721,-89.212273,Choctaw,FO-MS-O-NORTH,MPC,True,Decommissioned site,2025-06-30,-244.0
MSREDSWWTRLAB01,33.133.85.05,Switch,Active,Cisco,IE-3000-8TC,QOC7773X3WZ,27.2(4)EA9,Bootstrap,2.0,10.0,8.0, ,Jan-23-26 01:10:12,Jan-23-26 01:10:12,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RED,MS,IE-3000-8TC,2020-06-30,2025-06-30,Yes,IE-3300-8P2S-E,4937.640000000001,1790.0,3557.53,33.37721,-89.212273,Choctaw,FO-MS-O-NORTH,MPC,True,Decommissioned site,2025-06-30,-244.0
MSREDSWCNTLRM1,33.133.85.05,L3Switch,Active,Cisco,C9200-24P,QOC38373YWU,27.09.07,37.9.3r [FC33],2.0,34.0,32.0,1189d:20h:24m:0s,Jan-23-26 01:11:26,Jan-23-26 01:11:26,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RED,MS,C9200-24P,,,,,0.0,0.0,,33.37721,-89.212273,Choctaw,FO-MS-O-NORTH,MPC,True,Decommissioned site,,
GAXAGSWFL0301-VSS,33.255.1.1,Switch,Active,Cisco,C6807-XL,"SMC3778777R,SMC3778777Z",27.3(2)SY,35.3(04r)SYS,96.0,169.0,73.0,1794d:0h:12m:0s,Jan-23-26 02:21:47,Jan-23-26 02:21:47,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,C6807-XL,2022-04-30,2027-04-30,Yes,C9407R,108.0,8240.0,2611.88,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-04-30,425.0
GAXAGSWFL030101,33.255.33.5,Switch,Active,Cisco,WS-C2960X-48FPD-L,"QOC3773Z3B8,QOC3773Z3LK",27.2(2)E7,Bootstrap,2.0,105.0,103.0,2286d:9h:9m:0s,Jan-23-26 01:18:59,Jan-23-26 01:18:59,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C2960X-48FPD-L,2022-10-31,2027-10-31,Yes,C9300X-48HX-E,108.0,1540.0,,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-10-31,609.0
GAXAGSWFL040101,33.255.11.5,Switch,Active,Cisco,WS-C2960X-48FPD-L,"QOC3773Z3G7,QOC3773Z3GG,QOC3773Z3GL,QOC3773Z3DL,QOC3773Z3QQ",27.2(2)E7,Bootstrap,1.0,261.0,260.0,2015d:21h:14m:0s,Jan-23-26 02:16:20,Jan-23-26 02:16:20,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C2960X-48FPD-L,2022-10-31,2027-10-31,Yes,C9300X-48HX-E,108.0,1540.0,,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-10-31,609.0
GAXAGSWFL050101,33.255.12.5,Switch,Active,Cisco,WS-C2960X-48FPD-L,"QOC3773Z3L7,QCW3773B88C,QOC3773Z3GX,QOC3773Z3G9,QOC3773Z3GQ",27.2(2)E7,Bootstrap,1.0,261.0,260.0,2015d:21h:17m:0s,Jan-23-26 02:17:32,Jan-23-26 02:17:32,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C2960X-48FPD-L,2022-10-31,2027-10-31,Yes,C9300X-48HX-E,108.0,1540.0,,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-10-31,609.0
GAXAGSWFL060101,33.255.13.5,Switch,Active,Cisco,WS-C2960X-48FPD-L,"QOC3773Z3PH,QOC3773Z3WE,QOC3773Z3G8,QCW3738B88K,QOC3773Z3QG",27.2(2)E7,Bootstrap,1.0,261.0,260.0,1633d:8h:40m:0s,Jan-23-26 01:19:45,Jan-23-26 01:19:45,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C2960X-48FPD-L,2022-10-31,2027-10-31,Yes,C9300X-48HX-E,108.0,1540.0,,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-10-31,609.0
GAXAGSWFL060101-D3-02,33.255.13.0,Switch,Active,Cisco,WS-C2960X-48TS-L,QCW3777E7Q7,27.2(2)E7,Bootstrap,1.0,53.0,52.0, ,Jan-23-26 02:20:15,Jan-23-26 02:20:15,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C2960X-48TS-L,2022-10-31,2027-10-31,Yes,C9300-48T-E,6402.120000000001,1540.0,3996.14,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-10-31,609.0
GAXAGSW0101,33.255.132.5,L3Switch,Active,Cisco,WS-C3850-12XS,QOC3733U7XS,03.07.04E,IOS-XE,5.0,17.0,12.0,1346d:2h:19m:0s,Jan-23-26 01:14:54,Jan-23-26 01:14:54,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C3850-12XS,2022-04-30,2027-04-30,Yes,C9300-24T-E,3716.472,1540.0,2415.37,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-04-30,425.0
GAXAGSWFL070101,33.255.15.5,Switch,Active,Cisco,WS-C2960X-48FPD-L,"QCW7988B3DS,QCW7988B3QE,QCW7988B3EW,QCW7988B3QP",27.2(2)E3,Bootstrap,3.0,209.0,206.0,2015d:22h:44m:0s,Jan-23-26 01:01:19,Jan-23-26 01:01:19,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C2960X-48FPD-L,2022-10-31,2027-10-31,Yes,C9300X-48HX-E,108.0,1540.0,,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-10-31,609.0
GAXAGSWFL080101,33.255.15.5,Switch,Active,Cisco,WS-C2960X-48FPD-L,"QOC3773Z3EE,QOC3773Z3K7,QOC3773Z3K3,QOC3773Z3K9",27.2(2)E7,Bootstrap,1.0,209.0,208.0,2015d:21h:19m:0s,Jan-23-26 01:07:01,Jan-23-26 01:07:01,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C2960X-48FPD-L,2022-10-31,2027-10-31,Yes,C9300X-48HX-E,108.0,1540.0,,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-10-31,609.0
GAXAGSWFL090101,33.255.18.5,Switch,Active,Cisco,WS-C2960X-48FPD-L,"QCW3773B7G3,QOC3773Z3K5,QOC3773Z3HK,QOC3773Z3KG",27.2(2)E7,Bootstrap,1.0,209.0,208.0,2015d:21h:25m:0s,Jan-23-26 01:12:48,Jan-23-26 01:12:48,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C2960X-48FPD-L,2022-10-31,2027-10-31,Yes,C9300X-48HX-E,108.0,1540.0,,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-10-31,609.0
GAXAGSWFL090-TRNROOM,33.255.18.8,Router,Active,Cisco,C29xx,QCW3738B88U,27.2(2)E7, ,1.0,54.0,53.0, ,Jan-23-26 02:03:51,Jan-23-26 02:03:51,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,C29xx,,,,,0.0,1540.0,,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,,
GAXAGSWFL100101,33.255.33.5,Switch,Active,Cisco,WS-C2960X-48FPD-L,"QOC3773Z3EW,QOC3773Z3QB,QOC3773Z3E5",27.2(2)E7,Bootstrap,1.0,157.0,156.0,2024d:21h:54m:0s,Jan-23-26 02:04:11,Jan-23-26 02:04:11,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C2960X-48FPD-L,2022-10-31,2027-10-31,Yes,C9300X-48HX-E,108.0,1540.0,,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-10-31,609.0
GAXAGSWFL110101,33.255.18.5,Switch,Active,Cisco,WS-C2960X-48FPD-L,"QOC3773Z3KX,QOC3773Z3Z8,QOC3773Z3E9,QCW3773Z75S,QKC3387W7H9",27.2(2)E7,Bootstrap,1.0,261.0,260.0,2295d:6h:29m:0s,Jan-23-26 02:17:23,Jan-23-26 02:17:23,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C2960X-48FPD-L,2022-10-31,2027-10-31,Yes,C9300X-48HX-E,108.0,1540.0,,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-10-31,609.0
GAXAGSWFL120101,33.255.18.5,Switch,Active,Cisco,WS-C2960X-48FPD-L,"QOC3773Z3K7,QOC3773Z3HM,QOC3773Z3Q7",27.2(2)E7,Bootstrap,1.0,157.0,156.0,2288d:8h:8m:0s,Jan-23-26 01:12:45,Jan-23-26 01:12:45,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C2960X-48FPD-L,2022-10-31,2027-10-31,Yes,C9300X-48HX-E,108.0,1540.0,,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-10-31,609.0
GAXAGSWFL140101,33.255.21.5,Switch,Active,Cisco,WS-C2960X-48FPD-L,"QOC3773Z3EK,QOC3773Z3GH,QOC3773Z3HU",27.2(2)E7,Bootstrap,1.0,157.0,156.0,2288d:7h:38m:0s,Jan-23-26 01:20:49,Jan-23-26 01:20:49,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C2960X-48FPD-L,2022-10-31,2027-10-31,Yes,C9300X-48HX-E,108.0,1540.0,,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-10-31,609.0
GAXAGSWFL150101,33.255.22.5,Switch,Active,Cisco,WS-C2960X-48FPD-L,"QOC3773Z3EG,QOC3773Z3EM,QOC3773Z3QL,QOC3773Z3G7",27.2(2)E7,Bootstrap,1.0,209.0,208.0,2281d:6h:55m:0s,Jan-23-26 02:17:42,Jan-23-26 02:17:42,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C2960X-48FPD-L,2022-10-31,2027-10-31,Yes,C9300X-48HX-E,108.0,1540.0,,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-10-31,609.0
GAXAGSWFL160101,33.255.23.5,Switch,Active,Cisco,WS-C2960X-48FPD-L,"QCW3773B85Z,QOC3773Z3GK,QOC3773Z3G3",27.2(2)E7,Bootstrap,1.0,157.0,156.0,2281d:4h:58m:0s,Jan-23-26 02:16:49,Jan-23-26 02:16:49,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C2960X-48FPD-L,2022-10-31,2027-10-31,Yes,C9300X-48HX-E,108.0,1540.0,,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-10-31,609.0
GAXAGSWFL170101,33.255.25.5,Switch,Active,Cisco,WS-C2960X-48FPD-L,"QOC3773Z3GC,QOC3773Z3H7,QOC3773Z3CU,QOC7883S3C7",27.2(2)E7,Bootstrap,3.0,209.0,206.0,841d:8h:51m:0s,Jan-23-26 01:19:04,Jan-23-26 01:19:04,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C2960X-48FPD-L,2022-10-31,2027-10-31,Yes,C9300X-48HX-E,108.0,1540.0,,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-10-31,609.0
GAXAGSWFL180101,33.255.25.5,Switch,Active,Cisco,WS-C2960X-48FPD-L,"QOC3773Z3QN,QOC3773Z3Q8,QCW3773Z758",27.2(2)E7,Bootstrap,1.0,157.0,156.0,2280d:10h:45m:0s,Jan-23-26 02:16:55,Jan-23-26 02:16:55,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C2960X-48FPD-L,2022-10-31,2027-10-31,Yes,C9300X-48HX-E,108.0,1540.0,,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-10-31,609.0
GAXAGSWFL190101,33.255.28.5,Switch,Active,Cisco,WS-C2960X-48FPD-L,"QOC3773Z3KZ,QOC3773Z3EH,QOC3773Z3HP,QOC7883S3BW",27.2(2)E7,Bootstrap,3.0,209.0,206.0,2274d:6h:22m:0s,Jan-23-26 02:17:25,Jan-23-26 02:17:25,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C2960X-48FPD-L,2022-10-31,2027-10-31,Yes,C9300X-48HX-E,108.0,1540.0,,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-10-31,609.0
GAXAGSWFL2001,33.255.28.0,Switch,Active,Cisco,WS-C2960X-24TS-L,QOC7785S58L,27.0(2)EX3,Bootstrap,1.0,29.0,28.0,60d:10h:23m:0s,Jan-23-26 01:07:41,Jan-23-26 01:07:41,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C2960X-24TS-L,2022-10-31,2027-10-31,Yes,C9300-24T-E,3824.472,1540.0,2415.37,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-10-31,609.0
GAXAGSW0102,33.255.3.185,L3Switch,Active,Cisco,WS-C3850-12XS,QOC3733X7HU,03.07.04E,IOS-XE,4.0,17.0,13.0,1346d:2h:23m:0s,Jan-23-26 01:24:00,Jan-23-26 01:24:00,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C3850-12XS,2022-04-30,2027-04-30,Yes,C9300-24T-E,3716.472,1540.0,2415.37,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-04-30,425.0
GAXAGSWFL0303-Overflow,33.255.3.5,Switch,Active,Cisco,WS-C2960XR-48TD-I,"QDO7985B7QX,QDO7988B7HN",27.2(2)E7,Bootstrap,20.0,105.0,85.0,1590d:14h:38m:0s,Jan-23-26 01:20:07,Jan-23-26 01:20:07,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAG,GA,WS-C2960XR-48TD-I,2022-10-31,2027-10-31,Yes,C9300-48T-E,6402.120000000001,1540.0,3996.14,33.780909,-84.387112,Fulton,FO-GASCORP-GAS CORP HQ BLT HUB,SOGAS,True,Decommissioned site,2027-10-31,609.0
